"Time","flu","flu symptoms","influenza","flue season","sore throat"
"2022-10-01",56,6,3,0,17
"2022-11-01",73,13,8,0,21
"2022-12-01",75,13,10,0,22
"2023-01-01",30,5,3,0,18
"2023-02-01",22,4,3,0,17
"2023-03-01",18,3,2,0,16
"2023-04-01",14,2,2,0,15
"2023-05-01",12,2,2,0,16
"2023-06-01",10,2,1,0,13
"2023-07-01",9,1,1,0,11
"2023-08-01",13,2,1,0,13
"2023-09-01",28,3,2,0,15
"2023-10-01",38,4,2,0,15
"2023-11-01",37,5,3,0,17
"2023-12-01",49,9,6,0,19
"2024-01-01",42,7,5,0,16
"2024-02-01",37,7,6,0,16
"2024-03-01",25,4,5,0,15
"2024-04-01",22,3,4,0,14
"2024-05-01",16,2,2,0,14
"2024-06-01",13,2,2,0,12
"2024-07-01",12,2,1,0,10
"2024-08-01",14,2,1,0,12
"2024-09-01",28,3,2,0,13
"2024-10-01",33,3,2,0,13
"2024-11-01",29,4,3,0,15
"2024-12-01",55,9,5,0,18
"2025-01-01",79,12,10,0,15
"2025-02-01",100,15,13,0,16
"2025-03-01",43,6,5,0,14
"2025-04-01",21,3,3,0,13
"2025-05-01",15,2,2,0,13
"2025-06-01",11,2,2,0,11
"2025-07-01",11,1,2,0,10
"2025-08-01",15,2,2,0,12
"2025-09-01",28,2,2,0,13
"2025-10-01",33,3,2,0,13
"2025-11-01",33,3,4,0,15
"2025-12-01",81,12,12,0,19
"2026-01-01",74,11,10,0,15
"2026-02-01",49,8,9,0,16
"2026-03-01",32,5,7,0,16
"2026-04-01",21,3,5,0,15
"2026-05-01",18,3,4,0,17
"2026-06-01",15,3,5,0,16
