date,weekly_admissions,weekly_rate_per100k
2020-01-11,1.0,
2020-01-18,0.0,
2020-01-25,0.0,
2020-02-01,0.0,
2020-02-08,0.0,
2020-02-15,0.0,
2020-02-22,0.0,
2020-02-29,0.0,
2020-03-07,0.0,
2020-03-14,0.0,
2020-03-21,0.0,
2020-03-28,0.0,
2020-04-04,0.0,
2020-04-11,0.0,
2020-04-18,0.0,
2020-04-25,0.0,
2020-05-02,0.0,
2020-05-09,0.0,
2020-05-16,0.0,
2020-05-23,0.0,
2020-05-30,0.0,
2020-06-06,0.0,
2020-06-13,0.0,
2020-06-20,0.0,
2020-06-27,0.0,
2020-07-04,0.0,
2020-07-11,0.0,
2020-07-18,0.0,
2020-07-25,0.0,
2020-08-01,0.0,
2020-08-08,0.0,
2020-08-15,0.0,
2020-08-22,0.0,
2020-08-29,0.0,
2020-09-05,0.0,
2020-09-12,0.0,
2020-09-19,0.0,
2020-09-26,0.0,
2020-10-03,0.0,
2020-10-10,0.0,
2020-10-17,12.0,
2020-10-24,218.0,
2020-10-31,428.0,
2020-11-07,477.0,
2020-11-14,585.0,
2020-11-21,548.0,
2020-11-28,591.0,
2020-12-05,577.0,
2020-12-12,605.0,
2020-12-19,794.0,
2020-12-26,874.0,
2021-01-02,738.0,
2021-01-09,665.0,
2021-01-16,660.0,
2021-01-23,545.0,
2021-01-30,593.0,
2021-02-06,516.0,
2021-02-13,482.0,
2021-02-20,481.0,
2021-02-27,498.0,
2021-03-06,466.0,
2021-03-13,425.0,
2021-03-20,416.0,
2021-03-27,385.0,
2021-04-03,369.0,
2021-04-10,442.0,
2021-04-17,417.0,
2021-04-24,493.0,
2021-05-01,425.0,
2021-05-08,344.0,
2021-05-15,321.0,
2021-05-22,301.0,
2021-05-29,295.0,
2021-06-05,286.0,
2021-06-12,276.0,
2021-06-19,262.0,
2021-06-26,253.0,
2021-07-03,249.0,
2021-07-10,287.0,
2021-07-17,348.0,
2021-07-24,318.0,
2021-07-31,356.0,
2021-08-07,388.0,
2021-08-14,337.0,
2021-08-21,336.0,
2021-08-28,302.0,
2021-09-04,324.0,
2021-09-11,293.0,
2021-09-18,304.0,
2021-09-25,300.0,
2021-10-02,336.0,
2021-10-09,379.0,
2021-10-16,368.0,
2021-10-23,410.0,
2021-10-30,361.0,
2021-11-06,410.0,
2021-11-13,499.0,
2021-11-20,521.0,
2021-11-27,643.0,
2021-12-04,1013.0,
2021-12-11,1223.0,
2021-12-18,1475.0,
2021-12-25,1981.0,
2022-01-01,2771.0,
2022-01-08,1992.0,
2022-01-15,1651.0,
2022-01-22,1134.0,
2022-01-29,950.0,
2022-02-05,1089.0,0.320189596461964
2022-02-12,1161.0,0.341359156558623
2022-02-19,1497.0,0.440150437009698
2022-02-26,1607.0,0.472492820490704
2022-03-05,1792.0,0.526886829072397
2022-03-12,2090.0,0.614505286139123
2022-03-19,2612.0,0.7679845968399
2022-03-26,2908.0,0.855015010570608
2022-04-02,3007.0,0.884123155703514
2022-04-09,3138.0,0.922639994212713
2022-04-16,3295.0,0.968801396090149
2022-04-23,3456.0,1.01613888463962
2022-04-30,3185.0,0.936459012609143
2022-05-07,3175.0,0.933518795929051
2022-05-14,3115.0,0.915877495848502
2022-05-21,3125.0,0.918817712528594
2022-05-28,2733.0,0.803561218669007
2022-06-04,2677.0,0.787096005260495
2022-06-11,2207.0,0.648905821296194
2022-06-18,1776.0,0.52218248238425
2022-06-25,1368.0,0.402221641836517
2022-07-02,1076.0,0.316367314777845
2022-07-09,780.0,0.229336901047137
2022-07-16,767.0,0.225514619363018
2022-07-23,630.0,0.185233650845765
2022-07-30,521.0,0.153185289032767
2022-08-06,486.0,0.142894530652447
2022-08-13,489.0,0.143776595656474
2022-08-20,483.0,0.142012465648419
2022-08-27,483.0,0.142012465648419
2022-09-03,545.0,0.160241809064987
2022-09-10,577.0,0.16965050244128
2022-09-17,667.0,0.196112452562103
2022-09-24,795.0,0.233747226067274
2022-10-01,923.0,0.271381999572445
2022-10-08,1307.0,0.384286320087959
2022-10-15,1674.0,0.492192272247317
2022-10-22,2274.0,0.668605273052807
2022-10-29,4187.0,1.23106872395431
2022-11-05,6418.0,1.88703106528272
2022-11-12,8584.0,2.52388199819054
2022-11-19,10941.0,3.21689106968811
2022-11-26,18176.0,5.34413783773431
2022-12-03,26856.0,7.89624591605373
2022-12-10,24045.0,7.06975100728001
2022-12-17,21627.0,6.35880661403389
2022-12-24,19664.0,5.78164207973193
2022-12-31,19499.0,5.73312850451042
2023-01-07,14111.0,4.14893975727712
2023-01-14,7187.0,2.11313372798176
2023-01-21,4504.0,1.32427359271321
2023-01-28,3101.0,0.911761192496374
2023-02-04,2598.0,0.763868293487772
2023-02-11,2185.0,0.642437344599993
2023-02-18,1909.0,0.561287364229467
2023-02-25,1649.0,0.484841730547088
2023-03-04,1506.0,0.44279663202178
2023-03-11,1371.0,0.403103706840545
2023-03-18,1411.0,0.414864573560911
2023-03-25,1335.0,0.392518926792215
2023-04-01,1290.0,0.379287951731804
2023-04-08,1198.0,0.352237958274962
2023-04-15,1078.0,0.316955358113864
2023-04-22,980.0,0.288141234648967
2023-04-29,903.0,0.265501566212262
2023-05-06,991.0,0.291375472997068
2023-05-13,980.0,0.288141234648967
2023-05-20,1120.0,0.329304268170248
2023-05-27,973.0,0.286083082972903
2023-06-03,942.0,0.276968411264619
2023-06-10,935.0,0.274910259588555
2023-06-17,876.0,0.257562981176015
2023-06-24,816.0,0.239921681095466
2023-07-01,839.0,0.246684179459677
2023-07-08,699.0,0.205521145938396
2023-07-15,737.0,0.216693969322744
2023-07-22,648.0,0.190526040869929
2023-07-29,767.0,0.225514619363018
2023-08-05,687.0,0.201992885922286
2023-08-12,705.0,0.207285275946451
2023-08-19,739.0,0.217282012658762
2023-08-26,795.0,0.233747226067274
2023-09-02,881.0,0.259033089516061
2023-09-09,804.0,0.236393421079357
2023-09-16,818.0,0.240509724431485
2023-09-23,879.0,0.258445046180043
2023-09-30,1025.0,0.301372209709379
2023-10-07,1111.0,0.326658073158166
2023-10-14,1219.0,0.358412413303154
2023-10-21,1468.0,0.431623808637432
2023-10-28,1618.0,0.475727058838805
2023-11-04,2022.0,0.594511812714501
2023-11-11,2786.0,0.819144367073492
2023-11-18,3500.0,1.02907583803203
2023-11-25,4390.0,1.29075512256017
2023-12-02,5967.0,1.7544272930106
2023-12-09,7494.0,2.20339838006057
2023-12-16,10302.0,3.02901122383026
2023-12-23,15761.0,4.63407550949221
2023-12-30,21745.0,6.39350117085897
2024-01-06,19569.0,5.75371002127106
2024-01-13,15944.0,4.68788147473789
2024-01-20,13328.0,3.91872079122595
2024-01-27,13008.0,3.82463385746302
2024-02-03,11983.0,3.52326164775364
2024-02-10,11654.0,3.42652851897863
2024-02-17,11165.0,3.28275192332216
2024-02-24,10900.0,3.20483618129974
2024-03-02,10839.0,3.18690085955118
2024-03-09,9443.0,2.7764466110104
2024-03-16,7341.0,2.15841306485517
2024-03-23,6047.0,1.77794902645133
2024-03-30,5583.0,1.64152297249508
2024-04-06,5077.0,1.49274800848245
2024-04-13,4082.0,1.20019644881335
2024-04-20,2949.0,0.867069898958983
2024-04-27,2421.0,0.711826458250152
2024-05-04,1488.0,0.437504241997615
2024-05-11,852.0,0.250506461143796
2024-05-18,681.0,0.200228755914231
2024-05-25,610.0,0.179353217485582
2024-06-01,590.0,0.173472784125398
2024-06-08,511.0,0.150245072352676
2024-06-15,517.0,0.152009202360731
2024-06-22,441.0,0.129663555592035
2024-06-29,356.0,0.104671713811257
2024-07-06,341.0,0.10026138879112
2024-07-13,367.0,0.107905952159358
2024-07-20,324.0,0.0952630204349646
2024-07-27,273.0,0.080267915366498
2024-08-03,275.0,0.0808559587025162
2024-08-10,275.0,0.0808559587025162
2024-08-17,273.0,0.080267915366498
2024-08-24,274.0,0.0805619370345071
2024-08-31,259.0,0.0761516120143698
2024-09-07,223.0,0.0655668319660404
2024-09-14,319.0,0.0937929120949189
2024-09-21,293.0,0.086148348726681
2024-09-28,223.0,0.0655668319660404
2024-10-05,286.0,0.0840901970506169
2024-10-12,295.0,0.0867363920626992
2024-10-19,556.0,0.163476047413087
2024-10-26,1087.0,0.319601553125946
2024-11-02,1016.0,0.298726014697296
2024-11-09,2177.0,0.64008517125592
2024-11-16,2614.0,0.768572640175918
2024-11-23,3279.0,0.964097049402003
2024-11-30,4438.0,1.30486816262461
2024-12-07,6518.0,1.91643323208364
2024-12-14,9598.0,2.82201996955182
2024-12-21,16129.0,4.74227548331958
2024-12-28,28679.0,8.43224741683441
2025-01-04,39669.0,11.663545548255
2025-01-11,31884.0,9.37458686280374
2025-01-18,33769.0,9.92881770700099
2025-01-25,41512.0,12.2054274823958
2025-02-01,52705.0,15.4964120124223
2025-02-08,55757.0,16.3937661431862
2025-02-15,48009.0,14.1156862594513
2025-02-22,39463.0,11.6029770846451
2025-03-01,32013.0,9.41251565797692
2025-03-08,24757.0,7.27909443490253
2025-03-15,18885.0,5.5525992003528
2025-03-22,14050.0,4.13100443552856
2025-03-29,9988.0,2.93668842007539
2025-04-05,6992.0,2.05579950271998
2025-04-12,5068.0,1.49010181347037
2025-04-19,3974.0,1.16844210866836
2025-04-26,3315.0,0.974681829450332
2025-05-03,2545.0,0.748285145083287
2025-05-10,2184.0,0.642143322931984
2025-05-17,1899.0,0.558347147549376
2025-05-24,1744.0,0.512773789007958
2025-05-31,1851.0,0.544234107484937
