Time,flu,flu symptoms,influenza,sore throat
2019-09-01,14,1,1,5
2019-10-01,24,2,1,5
2019-11-01,20,3,1,6
2019-12-01,28,5,3,7
2020-01-01,40,7,6,7
2020-02-01,50,7,8,7
2020-03-01,100,8,10,13
2020-04-01,44,2,5,7
2020-05-01,22,1,2,4
2020-06-01,13,1,1,5
2020-07-01,17,1,2,7
2020-08-01,17,1,1,5
2020-09-01,25,1,1,5
2020-10-01,32,1,2,6
2020-11-01,20,2,1,6
2020-12-01,18,2,1,6
2021-01-01,13,1,1,5
2021-02-01,10,1,1,4
2021-03-01,8,1,1,5
2021-04-01,8,1,1,6
2021-05-01,7,1,1,6
2021-06-01,7,1,1,6
2021-07-01,7,1,1,7
2021-08-01,12,1,1,8
2021-09-01,18,1,1,8
2021-10-01,22,1,1,8
2021-11-01,18,2,1,8
2021-12-01,23,3,2,11
2022-01-01,19,3,2,12
2022-02-01,10,1,1,6
2022-03-01,10,2,2,6
2022-04-01,12,2,2,7
2022-05-01,10,2,2,8
2022-06-01,7,1,1,8
2022-07-01,6,1,1,8
2022-08-01,7,1,1,8
2022-09-01,14,1,1,8
2022-10-01,27,3,2,9
2022-11-01,37,6,4,10
2022-12-01,35,6,5,11
2023-01-01,15,3,2,8
2023-02-01,11,2,1,8
2023-03-01,9,1,1,8
2023-04-01,7,1,1,7
2023-05-01,6,1,1,7
2023-06-01,5,1,1,6
2023-07-01,4,1,1,5
2023-08-01,6,1,1,6
2023-09-01,14,1,1,7
2023-10-01,18,2,1,7
2023-11-01,17,3,2,8
2023-12-01,25,4,3,9
2024-01-01,20,4,3,8
2024-02-01,18,3,3,8
2024-03-01,12,2,2,7
2024-04-01,10,2,2,7
2024-05-01,8,1,1,7
2024-06-01,6,1,1,6
2024-07-01,6,1,1,5
2024-08-01,7,1,1,6
2024-09-01,14,1,1,6
2024-10-01,16,2,1,6
2024-11-01,14,2,1,7
2024-12-01,27,4,3,9
2025-01-01,38,6,5,8
2025-02-01,49,7,7,8
2025-03-01,21,3,3,7
2025-04-01,10,2,2,6
2025-05-01,7,1,1,6
2025-06-01,6,1,1,5
2025-07-01,6,1,1,5
2025-08-01,7,1,1,6
2025-09-01,14,1,1,6
2025-10-01,16,1,1,6
2025-11-01,16,2,2,7
2025-12-01,39,6,6,9
2026-01-01,36,5,5,7
2026-02-01,23,4,5,8
2026-03-01,15,3,3,8
2026-04-01,11,2,2,8
2026-05-01,9,1,2,8
2026-06-01,7,2,3,8
2026-07-01,5,1,1,6
