seed,horizon,model,split,mae,rmse
1,1,MLP,val,2944.394554996566,4656.82274351225
1,1,MLP,test,2671.9762577777515,4527.7456814113275
1,1,XGBoost,val,4186.620686799808,6438.220245737942
1,1,XGBoost,test,2009.7249662450022,3351.741061534318
1,1,LightGBM,val,4543.363176853526,7040.375913184582
1,1,LightGBM,test,2017.8862734784714,3468.618214751942
1,1,Ridge,val,3653.1391899383116,5736.60311446861
1,1,Ridge,test,2405.289755797775,4740.320111163442
1,1,Rolling Mean,val,7959.258064516129,10496.765623199704
1,1,Rolling Mean,test,5363.798387096775,8506.835342378428
2,1,MLP,val,3260.705061429928,5375.822076380656
2,1,MLP,test,2299.7953025876923,4821.466496090289
2,1,XGBoost,val,4210.282160875739,6381.300467428146
2,1,XGBoost,test,1964.3901598539824,3355.058221918621
2,1,LightGBM,val,4660.303951896819,7164.823446669974
2,1,LightGBM,test,2056.861974859339,3641.5438654351415
2,1,Ridge,val,3653.1391899383116,5736.60311446861
2,1,Ridge,test,2405.289755797775,4740.320111163442
2,1,Rolling Mean,val,7959.258064516129,10496.765623199704
2,1,Rolling Mean,test,5363.798387096775,8506.835342378428
3,1,MLP,val,3453.43888939833,5634.9032777282255
3,1,MLP,test,2541.077923962946,4641.907687249488
3,1,XGBoost,val,4151.789485995596,6246.0831868300065
3,1,XGBoost,test,1869.8735480012529,3250.346544229072
3,1,LightGBM,val,4646.783805428659,7075.250811563734
3,1,LightGBM,test,2090.662700301881,3607.8332436567835
3,1,Ridge,val,3653.1391899383116,5736.60311446861
3,1,Ridge,test,2405.289755797775,4740.320111163442
3,1,Rolling Mean,val,7959.258064516129,10496.765623199704
3,1,Rolling Mean,test,5363.798387096775,8506.835342378428
4,1,MLP,val,3107.306487589734,4827.291341187279
4,1,MLP,test,1876.4507426072262,3752.489351684531
4,1,XGBoost,val,4167.477864066937,6313.760294808561
4,1,XGBoost,test,2005.4610972438888,3474.5390226737322
4,1,LightGBM,val,4435.712811697307,6665.32007742605
4,1,LightGBM,test,1973.092528690441,3461.462191467264
4,1,Ridge,val,3653.1391899383116,5736.60311446861
4,1,Ridge,test,2405.289755797775,4740.320111163442
4,1,Rolling Mean,val,7959.258064516129,10496.765623199704
4,1,Rolling Mean,test,5363.798387096775,8506.835342378428
5,1,MLP,val,2875.4992440170445,4418.026453542624
5,1,MLP,test,1908.279853459395,3545.464230067784
5,1,XGBoost,val,4248.19802673455,6362.825208143309
5,1,XGBoost,test,2032.9196596092347,3591.4284582756227
5,1,LightGBM,val,4451.194235651835,6700.118741909407
5,1,LightGBM,test,1947.5606277059478,3331.171883350811
5,1,Ridge,val,3653.1391899383116,5736.60311446861
5,1,Ridge,test,2405.289755797775,4740.320111163442
5,1,Rolling Mean,val,7959.258064516129,10496.765623199704
5,1,Rolling Mean,test,5363.798387096775,8506.835342378428
6,1,MLP,val,2978.799959576471,4256.86277097799
6,1,MLP,test,1934.743996757217,3520.039038852616
6,1,XGBoost,val,4208.066636379895,6245.839997830383
6,1,XGBoost,test,1941.083236550728,3349.664654404218
6,1,LightGBM,val,4643.894500748166,7030.275898494439
6,1,LightGBM,test,2083.8756728916355,3684.2871911019843
6,1,Ridge,val,3653.1391899383116,5736.60311446861
6,1,Ridge,test,2405.289755797775,4740.320111163442
6,1,Rolling Mean,val,7959.258064516129,10496.765623199704
6,1,Rolling Mean,test,5363.798387096775,8506.835342378428
7,1,MLP,val,3153.1567053238223,5157.659897258624
7,1,MLP,test,2285.5575627073954,3948.382064040373
7,1,XGBoost,val,4294.0936329329725,6623.812697020724
7,1,XGBoost,test,2031.347145082379,3552.5169995759506
7,1,LightGBM,val,4557.973060093452,6930.662538932673
7,1,LightGBM,test,2055.8204153240063,3515.9079167557456
7,1,Ridge,val,3653.1391899383116,5736.60311446861
7,1,Ridge,test,2405.289755797775,4740.320111163442
7,1,Rolling Mean,val,7959.258064516129,10496.765623199704
7,1,Rolling Mean,test,5363.798387096775,8506.835342378428
8,1,MLP,val,3602.8590248374717,5968.576808040145
8,1,MLP,test,2175.342179478848,4079.0051001554416
8,1,XGBoost,val,4114.89219059072,6365.797653925234
8,1,XGBoost,test,1919.6158633065202,3374.1047935654437
8,1,LightGBM,val,4507.015038945878,6921.790657226302
8,1,LightGBM,test,2034.0799766548084,3570.2270521936166
8,1,Ridge,val,3653.1391899383116,5736.60311446861
8,1,Ridge,test,2405.289755797775,4740.320111163442
8,1,Rolling Mean,val,7959.258064516129,10496.765623199704
8,1,Rolling Mean,test,5363.798387096775,8506.835342378428
9,1,MLP,val,3081.3264719534886,4722.40776142641
9,1,MLP,test,2137.5815791112623,3727.232980823123
9,1,XGBoost,val,4155.6475288640795,6065.100479653688
9,1,XGBoost,test,1951.8545757082175,3251.9117231349737
9,1,LightGBM,val,4763.82797007567,7219.980108575016
9,1,LightGBM,test,2162.694895577622,3863.1607894932285
9,1,Ridge,val,3653.1391899383116,5736.60311446861
9,1,Ridge,test,2405.289755797775,4740.320111163442
9,1,Rolling Mean,val,7959.258064516129,10496.765623199704
9,1,Rolling Mean,test,5363.798387096775,8506.835342378428
10,1,MLP,val,3108.7365830074987,4837.057060652647
10,1,MLP,test,2049.9000712729994,3563.2793891392694
10,1,XGBoost,val,4176.707734375874,6001.97939560735
10,1,XGBoost,test,1949.0843209311954,3316.4875915018692
10,1,LightGBM,val,4565.536954924101,6853.028163015576
10,1,LightGBM,test,2064.221126845689,3570.2464673514505
10,1,Ridge,val,3653.1391899383116,5736.60311446861
10,1,Ridge,test,2405.289755797775,4740.320111163442
10,1,Rolling Mean,val,7959.258064516129,10496.765623199704
10,1,Rolling Mean,test,5363.798387096775,8506.835342378428
11,1,MLP,val,2890.4126666346083,4278.042265297644
11,1,MLP,test,2088.6764058752924,3976.9241745562017
11,1,XGBoost,val,4101.949934092296,6176.895165010184
11,1,XGBoost,test,1911.8025352812942,3395.6687722927522
11,1,LightGBM,val,4595.627077320028,7007.961383908767
11,1,LightGBM,test,2013.121832431786,3456.265982457527
11,1,Ridge,val,3653.1391899383116,5736.60311446861
11,1,Ridge,test,2405.289755797775,4740.320111163442
11,1,Rolling Mean,val,7959.258064516129,10496.765623199704
11,1,Rolling Mean,test,5363.798387096775,8506.835342378428
12,1,MLP,val,3646.568647522045,5804.530030012746
12,1,MLP,test,2204.3196532786624,4318.890514708723
12,1,XGBoost,val,4190.9382165313045,6328.505903847531
12,1,XGBoost,test,1877.3754725867639,3247.704515315173
12,1,LightGBM,val,4776.329112476559,7280.098568779117
12,1,LightGBM,test,2082.7463481107475,3729.502560313905
12,1,Ridge,val,3653.1391899383116,5736.60311446861
12,1,Ridge,test,2405.289755797775,4740.320111163442
12,1,Rolling Mean,val,7959.258064516129,10496.765623199704
12,1,Rolling Mean,test,5363.798387096775,8506.835342378428
13,1,MLP,val,2975.0203603086707,4713.066296023813
13,1,MLP,test,2212.84632517194,4076.4469513856666
13,1,XGBoost,val,4187.045137731259,6317.842073060573
13,1,XGBoost,test,2027.917890423532,3575.7924896871295
13,1,LightGBM,val,4746.709073585521,7161.4475070380395
13,1,LightGBM,test,2169.9455307674334,3871.63028720053
13,1,Ridge,val,3653.1391899383116,5736.60311446861
13,1,Ridge,test,2405.289755797775,4740.320111163442
13,1,Rolling Mean,val,7959.258064516129,10496.765623199704
13,1,Rolling Mean,test,5363.798387096775,8506.835342378428
14,1,MLP,val,2996.115766470163,4398.512090541553
